region	ClusterNumber	CellType	clustering	group
mPFC	9	undetermined_2	second	Glia
BLA	0	LA_Rorb	third	Exc_Neu
BLA	3	LA_Chst9	third	Exc_Neu
BLA	1	BA	third	Exc_Neu
BLA	4	BMA	third	Exc_Neu
BLA	2	VGlut2_1	third	Exc_Neu
BLA	8	VGlut2_2	third	Exc_Neu
BLA	5	Exc_Neu_Spag16	third	Exc_Neu
BLA	6	Exc_Neu_Lypd6b	third	Exc_Neu
BLA	7	Exc_Neu_Unc13c	third	Exc_Neu
BLA	2	BLA_Sst	third	Inh_Neu
BLA	5	BLA_Vip	third	Inh_Neu
BLA	6	BMA_Inh_1	third	Inh_Neu
BLA	8	BMA_Inh_2	third	Inh_Neu
BLA	0	ITC	third	Inh_Neu
BLA	1	CEA_Fign	third	Inh_Neu
BLA	3	CEA_Rarb	third	Inh_Neu
BLA	4	CEA_Arhgap6	third	Inh_Neu
BLA	7	CEA_Sst	third	Inh_Neu
BLA	1	Astrocyte_1	third	Glia
BLA	6	Astrocyte_2	third	Glia
BLA	0	OPC	third	Glia
BLA	2	Olig	third	Glia
BLA	3	MG	third	Glia
BLA	5	Ependymal	third	Glia
BLA	4	undetermined	third	Glia
Hippo	0	DG_1	third	Exc_Neu
Hippo	6	DG_2	third	Exc_Neu
Hippo	1	CA1	third	Exc_Neu
Hippo	2	CA3_1	third	Exc_Neu
Hippo	4	CA3_2	third	Exc_Neu
Hippo	3	Subiculum_1	third	Exc_Neu
Hippo	5	Subiculum_2	third	Exc_Neu
Hippo	0	Sst	third	Inh_Neu
Hippo	3	Pvalb_1	third	Inh_Neu
Hippo	6	Pvalb_2	third	Inh_Neu
Hippo	4	Vip	third	Inh_Neu
Hippo	5	Reln	third	Inh_Neu
Hippo	2	Ntng1	third	Inh_Neu
Hippo	1	Neurogliaform	third	Inh_Neu
Hippo	0	Olig_1	third	Glia
Hippo	5	Olig_2	third	Glia
Hippo	3	OPC	third	Glia
Hippo	1	Microglia	third	Glia
Hippo	2	Astrocytre	third	Glia
Hippo	4	Endothelial	third	Glia
Hippo	6	undetermined	third	Glia
mPFC	0	L2_3_IT_1	third	Exc_Neu
mPFC	9	L2_3_IT_2	third	Exc_Neu
mPFC	1	L4_5_IT	third	Exc_Neu
mPFC	4	L4_5_IT	third	Exc_Neu
mPFC	3	L5_ET	third	Exc_Neu
mPFC	6	L5_NP	third	Exc_Neu
mPFC	2	L6_CT_1	third	Exc_Neu
mPFC	7	L6_CT_2	third	Exc_Neu
mPFC	8	L6_CT_3	third	Exc_Neu
mPFC	5	L6_IT	third	Exc_Neu
mPFC	10	undetermined	third	Exc_Neu
mPFC	1	Sst_1	third	Inh_Neu
mPFC	5	Sst_2	third	Inh_Neu
mPFC	0	Pvalb	third	Inh_Neu
mPFC	2	Vip	third	Inh_Neu
mPFC	3	Reln_1	third	Inh_Neu
mPFC	4	Reln_2	third	Inh_Neu
mPFC	6	undetermined_1	third	Inh_Neu
mPFC	7	undetermined_2	third	Inh_Neu
mPFC	0	Olig	third	Glia
mPFC	4	NF_Olig	third	Glia
mPFC	3	OPC	third	Glia
mPFC	1	Astrocyte	third	Glia
mPFC	2	Microglia	third	Glia
mPFC	5	Ependymal	third	Glia
mPFC	6	undetermined_1	third	Glia
mPFC	7	undetermined_2	third	Glia
